ng,veclen,rpb,exec_name,cpu_cost (s),gpu_cost (s)
1024,128,2,mini_app_hip_1,1.69000000000030237E-4,1.26000000000014989E-4
1024,128,2,mini_app_hip_1_LDS,1.60999999999966725E-4,1.16000000000004988E-4
1024,128,2,mini_app_hip_1_LDS_NO_TRANSPOSE,1.70000000000003482E-4,1.16999999999978233E-4
1024,128,2,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,1.57000000000018236E-4,1.12000000000000988E-4
1024,128,2,mini_app_hip_2,1.78000000000011482E-4,1.14000000000002988E-4
1024,128,2,mini_app_hip_2_LDS,1.63999999999997481E-4,8.80000000000324967E-5
1024,128,2,mini_app_hip_2_LDS_NO_TRANSPOSE,1.65999999999999481E-4,8.79999999999769855E-5
1024,128,2,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,1.66999999999972726E-4,7.99999999999689848E-5
1024,128,2,mini_app_hip_3,1.70000000000003482E-4,1.88999999999994728E-4
1024,128,2,mini_app_hip_3_LDS,1.57999999999991481E-4,1.48000000000009235E-4
1024,128,2,mini_app_hip_3_LDS_NO_TRANSPOSE,1.59999999999993481E-4,1.49000000000010235E-4
1024,128,2,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,1.63999999999997481E-4,1.47000000000008235E-4
1024,128,2,mini_app_hip_4,1.78000000000011482E-4,0.
1024,128,2,mini_app_hip_4_LDS,2.65000000000015223E-4,4.68000000000023952E-4
1024,128,2,mini_app_hip_4_LDS_NO_TRANSPOSE,1.76000000000009482E-4,3.27000000000021718E-4
1024,128,2,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,1.90000000000023483E-4,3.41000000000035719E-4
1024,128,2,mini_app_omp,1.56000000000017236E-4,1.98999999999976973E-4
1024,16,16,mini_app_hip_1,1.62999999999968725E-4,2.44999999999995222E-4
1024,16,16,mini_app_hip_1_LDS,1.78000000000011482E-4,2.12999999999963219E-4
1024,16,16,mini_app_hip_1_LDS_NO_TRANSPOSE,1.72999999999978726E-4,2.1100000000001673E-4
1024,16,16,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,1.61999999999995481E-4,1.90000000000023483E-4
1024,16,16,mini_app_hip_2,1.4999999999998348E-4,9.30000000000097415E-5
1024,16,16,mini_app_hip_2_LDS,1.70000000000003482E-4,1.03999999999992987E-4
1024,16,16,mini_app_hip_2_LDS_NO_TRANSPOSE,1.68999999999974726E-4,8.40000000000284963E-5
1024,16,16,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,1.67000000000028237E-4,6.00000000000044942E-5
1024,16,16,mini_app_hip_3,1.5499999999998848E-4,3.41000000000007963E-4
1024,16,16,mini_app_hip_3_LDS,1.56000000000017236E-4,2.91999999999986715E-4
1024,16,16,mini_app_hip_3_LDS_NO_TRANSPOSE,1.71000000000032237E-4,2.17999999999995975E-4
1024,16,16,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,1.65000000000026237E-4,2.9000000000001247E-4
1024,16,16,mini_app_hip_4,1.99000000000004729E-4,0.
1024,16,16,mini_app_hip_4_LDS,1.92000000000025484E-4,3.50999999999990209E-4
1024,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE,1.89999999999967972E-4,3.40000000000006963E-4
1024,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,1.82999999999988727E-4,3.29999999999996962E-4
1024,16,16,mini_app_omp,1.74000000000007482E-4,3.30999999999997963E-4
1024,32,8,mini_app_hip_1,1.63000000000024237E-4,1.62999999999968725E-4
1024,32,8,mini_app_hip_1_LDS,1.65999999999999481E-4,1.35999999999997234E-4
1024,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE,2.94999999999989715E-4,2.1300000000001873E-4
1024,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,1.52000000000013236E-4,1.37999999999999234E-4
1024,32,8,mini_app_hip_2,1.63999999999997481E-4,9.50000000000117417E-5
1024,32,8,mini_app_hip_2_LDS,1.66999999999972726E-4,8.09999999999977405E-5
1024,32,8,mini_app_hip_2_LDS_NO_TRANSPOSE,2.82000000000004469E-4,1.23999999999985233E-4
1024,32,8,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,1.72000000000005482E-4,6.40000000000084945E-5
1024,32,8,mini_app_hip_3,1.45000000000006235E-4,1.67000000000000481E-4
1024,32,8,mini_app_hip_3_LDS,1.70000000000003482E-4,1.41000000000002235E-4
1024,32,8,mini_app_hip_3_LDS_NO_TRANSPOSE,1.68000000000001481E-4,1.39999999999973479E-4
1024,32,8,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,1.65000000000026237E-4,1.34999999999996234E-4
1024,32,8,mini_app_hip_4,1.72999999999978726E-4,3.17999999999984961E-4
1024,32,8,mini_app_hip_4_LDS,1.86000000000019483E-4,3.38000000000004963E-4
1024,32,8,mini_app_hip_4_LDS_NO_TRANSPOSE,2.57000000000007223E-4,4.64999999999993197E-4
1024,32,8,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,2.59000000000009223E-4,4.68999999999997197E-4
1024,32,8,mini_app_omp,1.51000000000012236E-4,1.96000000000001728E-4
1024,64,4,mini_app_hip_1,1.69000000000030237E-4,1.41000000000002235E-4
1024,64,4,mini_app_hip_1_LDS,1.75000000000036238E-4,1.35999999999969479E-4
1024,64,4,mini_app_hip_1_LDS_NO_TRANSPOSE,2.80000000000002469E-4,1.80999999999986727E-4
1024,64,4,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,1.52000000000013236E-4,1.13000000000001988E-4
1024,64,4,mini_app_hip_2,1.57999999999991481E-4,9.89999999999879865E-5
1024,64,4,mini_app_hip_2_LDS,1.67000000000028237E-4,8.29999999999997407E-5
1024,64,4,mini_app_hip_2_LDS_NO_TRANSPOSE,1.63999999999997481E-4,1.65999999999999481E-4
1024,64,4,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,1.58999999999992481E-4,6.30000000000074944E-5
1024,64,4,mini_app_hip_3,1.67000000000028237E-4,1.70999999999976726E-4
1024,64,4,mini_app_hip_3_LDS,1.65999999999999481E-4,1.33000000000049745E-4
1024,64,4,mini_app_hip_3_LDS_NO_TRANSPOSE,1.47000000000008235E-4,1.15000000000003988E-4
1024,64,4,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,1.65999999999999481E-4,1.29999999999963478E-4
1024,64,4,mini_app_hip_4,1.82000000000015483E-4,3.43000000000037719E-4
1024,64,4,mini_app_hip_4_LDS,2.55999999999978467E-4,4.56999999999985196E-4
1024,64,4,mini_app_hip_4_LDS_NO_TRANSPOSE,1.86000000000019483E-4,3.38000000000004963E-4
1024,64,4,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,1.83000000000044238E-4,3.16999999999956206E-4
1024,64,4,mini_app_omp,1.68999999999974726E-4,2.1800000000002373E-4
16384,128,2,mini_app_hip_1,3.59300000000001285E-3,4.54999999999983196E-4
16384,128,2,mini_app_hip_1_LDS,3.63199999999996859E-3,3.94999999999978701E-4
16384,128,2,mini_app_hip_1_LDS_NO_TRANSPOSE,3.5560000000000036E-3,3.97000000000036213E-4
16384,128,2,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,3.65399999999999059E-3,3.92999999999976701E-4
16384,128,2,mini_app_hip_2,3.60000000000004761E-3,4.52000000000007951E-4
16384,128,2,mini_app_hip_2_LDS,3.68899999999999784E-3,2.95999999999962959E-4
16384,128,2,mini_app_hip_2_LDS_NO_TRANSPOSE,3.57099999999999085E-3,2.95000000000045226E-4
16384,128,2,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,3.58300000000000285E-3,2.67999999999990468E-4
16384,128,2,mini_app_hip_3,3.5359999999999836E-3,8.36000000000003407E-4
16384,128,2,mini_app_hip_3_LDS,3.6180000000000101E-3,6.79000000000040682E-4
16384,128,2,mini_app_hip_3_LDS_NO_TRANSPOSE,3.61099999999997534E-3,6.88999999999995172E-4
16384,128,2,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,3.75600000000003709E-3,6.59999999999993925E-4
16384,128,2,mini_app_hip_4,3.72999999999995557E-3,8.0700000000000216E-4
16384,128,2,mini_app_hip_4_LDS,3.65499999999996383E-3,7.94000000000016914E-4
16384,128,2,mini_app_hip_4_LDS_NO_TRANSPOSE,2.53000000000003222E-3,0.
16384,128,2,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,3.72200000000000308E-3,8.0099999999999616E-4
16384,128,2,mini_app_omp,3.6180000000000101E-3,4.63999999999992196E-4
16384,16,16,mini_app_hip_1,2.03100000000000502E-3,1.96099999999999053E-3
16384,16,16,mini_app_hip_1_LDS,3.5519999999999996E-3,1.3449999999999851E-3
16384,16,16,mini_app_hip_1_LDS_NO_TRANSPOSE,2.37199999999998523E-3,1.3449999999999851E-3
16384,16,16,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,2.13400000000002477E-3,1.32799999999999585E-3
16384,16,16,mini_app_hip_2,2.35299999999999399E-3,9.92999999999966132E-4
16384,16,16,mini_app_hip_2_LDS,3.5479999999999956E-3,9.6299999999999164E-4
16384,16,16,mini_app_hip_2_LDS_NO_TRANSPOSE,3.66299999999999959E-3,4.59000000000042707E-4
16384,16,16,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,3.61099999999997534E-3,6.24999999999986677E-4
16384,16,16,mini_app_hip_3,2.27600000000000025E-3,4.12699999999999179E-3
16384,16,16,mini_app_hip_3_LDS,3.60100000000002085E-3,3.01400000000001667E-3
16384,16,16,mini_app_hip_3_LDS_NO_TRANSPOSE,3.48800000000004662E-3,2.230999999999983E-3
16384,16,16,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,3.70199999999998308E-3,3.02100000000005142E-3
16384,16,16,mini_app_hip_4,3.49800000000000111E-3,1.50800000000000933E-3
16384,16,16,mini_app_hip_4_LDS,3.57299999999999285E-3,1.44700000000003159E-3
16384,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE,3.6520000000000441E-3,1.40200000000001435E-3
16384,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,3.57799999999997009E-3,1.88599999999999879E-3
16384,16,16,mini_app_omp,3.58700000000000685E-3,4.33999999999989949E-4
16384,32,8,mini_app_hip_1,3.56299999999998285E-3,6.50999999999957168E-4
16384,32,8,mini_app_hip_1_LDS,3.73600000000001709E-3,4.95000000000023199E-4
16384,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE,3.89400000000000857E-3,4.58999999999987196E-4
16384,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,3.59900000000001885E-3,5.39999999999984936E-4
